Cluster i: 0
total projects:143
total patterns:86
'(.)'	12,412,757,759,852,961,1087,1221,1511
'((,|^)\\s*[\\w\\-\\.]+)'	757,1087
u'[A-Za-z0-9][A-Za-z0-9\\-_]*'	332,689
'(\\w+|-+>|=+>|"[^"]+"|\'[^\']+\'|\\|)'	1248,1488
'\\s*([a-zA-Z_][-:.a-zA-Z_0-9]*)[$]?(\\s*=\\s*(\\\'[^\\\']*\\\'|"[^"]*"|[][\\-a-zA-Z0-9./,:;+*%?!&$\\(\\)_#=~\\\'"@]*))?'	666,707




Cluster i: 2
total projects:97
total patterns:33
'[ \\t]+'	55,261,305,908,1505,1630,1632,1638,1639
'(\\s)'	12,412,759,852,943,1087,1221,1511
'[\\-\\s]'	302,849,878,1012,1086,1158,1495,1634
'[-./\\s]'	322,416,467,505,534,1300,1404,1466
'[\\s\\-]+'	302,849,878,1012,1086,1158,1495,1634
'[\n\r\t\x0b\x0c]'	46,147,162,181,251,619,1087,1267
',?\\s+'	147,162,181,251,619,1087,1267
'\\s([^a])'	12,412,759,852,1087,1221,1511
'([\\t ]+)'	173,552,606,800,1223,1420,1469
'\\s([^a]*)'	12,412,759,852,1087,1221,1511
'[\\s,]+'	245,262,267,268,560,1085
'[\\s]+'	49,200,317,391,872
'((\\t)|(    ))(.*)'	236,247,919,1007,1395
'[ \\t]'	826,828,1128,1591
'\\s+\\S'	602,747,1248,1488
'[ \\t\\n]'	119,1007,1015,1032
'[\\s\\(\\)]+'	167,468,640,659
'[\\s]'	232,959,1276
'\\[|\\]|\n+|\\s+'	560,1317,1501
'\\s.*'	560,1488
'\\s|,'	332,689
'[-\\s]'	332,689
'\\S\\s'	1025,1322
'[,\\s]+'	758,1580
'[ \\t:]+'	305,1505
'( +|\\n)'	757,1087
'(\\s|,)+'	640,662
'^\\S+\\s+'	361,1062
'\\s*,\\s*|\\s+'	518,787
'(^package:)|\\s'	919,1007
'\\s+(\\S+\\s*)$'	422,1644
'(\\s*[;,\\s]\\s*)'	147,181
'([% \t\\x80-\\xff])'	305,1505




Cluster i: 3
total projects:88
total patterns:36
'(\\W+)'	12,251,412,759,852,961,1087,1221,1511
'[^A-Za-z0-9_.-]'	992,1104,1257,1386,1415,1469,1536,1580
u'[\t-\r -/:-@[-`{-~]'	220,927,1122,1263,1290,1469,1580,1594
'[^\\w]+'	201,435,552,606,923,1223,1420
'[^a-z0-9]+'	147,162,181,251,619,1087,1267
'[^-A-Za-z0-9_.]'	82,89,1004,1074,1075,1495
'[^a-zA-Z0-9._-]'	82,89,1004,1074,1075,1495
'[^A-Za-z0-9_.!~*()-]'	412,759,852,961,1221,1511
'[^\\w]'	136,137,1408,1495,1571
'[^A-Za-z0-9]'	1116,1451,1471,1480,1580
'[^a-zA-Z0-9_-]'	251,1087,1121,1320,1355
'[\\W]+'	103,130,574,1340
'[^\\w\\.\\-]'	122,1015,1032,1205
'[^A-Z^a-z^0-9^:]+'	305,1025,1138,1505
'[^A-Z^a-z^0-9^\\/]+'	305,1025,1138,1505
u"[^ \r\na-zA-Z0-9\\-'()+,./:=?;!*#@$_%]"	1263,1290,1580,1594
'[^\\w.-]'	103,130,360
'[^a-z0-9]'	813,927,1003
'[^a-zA-Z.0-9]'	492,627,1364
'[^A-Za-z0-9 ]'	210,253,1426
'(\\W)'	533,1307
'[\\W_]'	135,749
'[\\W_]+'	784,1557
'[^_\\w]'	619,1247
'[^\\w.-]+'	1223,1420
'[^\\w\\d_]'	1269,1498
'[^A-Za-z_]'	332,689
'[^0-9A-Za-z]'	153,944
'[^a-zA-Z0-9.]'	251,1087
'[^\\w\\.\\- ]'	1223,1420
'[^\\w\\-\\.\\/]+'	492,1364
'^\\s*(\\S+)\\s*$'	147,181
u'[^A-Za-z0-9_.;\\-]'	332,689
'[^A-Za-z0-9_\\.\\-]'	332,689
u'[^A-Za-z0-9_.:;\\-]'	332,689
'[\x00-\x1f\x7f()<>@,;:\\[\\]={} \t\\\\"]'	728,1416




Cluster i: 4
total projects:58
total patterns:27
'^[^-_.]+'	322,416,467,505,534,1199,1300,1404,1466
'^([a-zA-F0-9_-]*)[\\.]?.*$'	306,322,464,467,505,534,1300,1466
'[^a-z]'	326,1248,1433,1469,1488
'(\\S+)\\s*(.*)'	52,241,597,1249
'^[ \\t]*[^# \\t]'	433,927,1003,1202
'[^\\d]'	477,1068,1247
'[^0-9, ]'	557,1223,1420
'^([^ ]+)'	241,874,1249
'^([^:]+)$'	241,874,1249
'"([^"]+)"|(\\S+)'	127,682,1529
'^ *(.*) *( *) *$'	12,1054,1087
'^([^<]*)(/(<.*))?$'	241,874,1249
'^(\\s*)()(\\S+)(.*$)'	747,1517,1580
'(([^-/]+)-?([^/]+)?)/?.*'	241,874,1249
'^\\S'	171,1381
'\\S+'	200,1143
'^.+$'	820,1247
'[^A-Z]'	162,1302
'(\\S+)'	539,560
'[^0-9]+'	1051,1469
'^(\\S+):?'	996,1491
'\\d*(\\S)'	332,689
'[^0-9:\\.]'	1248,1488
'<[^>]+>|[^\\s<]+'	1248,1488
'^(\\S+ \\S+ \\S+ \\S+: )?(.*)$'	440,542
'([\\x20\\x21\\x23-\\x5B\\x5D-\\x7E]+)'	55,908
'\\s*([^\\s\\(\\)"\\\'=,\\[\\]/\\?]+)\\s*'	1248,1488




Cluster i: 5
total projects:58
total patterns:23
'\\d'	383,560,602,609,747,866,919,1007
'([0-9.]+)(\\S*)$'	46,147,162,181,251,619,1087,1267
'[\\.0-9]+'	168,240,343,350,1308,1336,1403
'[0-9]'	134,1235,1340,1491
'([0-9.]+)'	1183,1491,1506,1510
'(\\d+(\\.\\d+)*)'	1263,1290,1580,1594
'(\\d)'	560,1317,1501
'([\\d\\.]+)'	287,602,1509
'[0-9a-fA-F]{2}'	467,505,1466
'\\s*(\\d+)\\s*'	1087,1580,1621
'([0-9]+)([DdHhMm]|[sS]?)'	1004,1075,1495
'[-+]?(\\d+(\\.\\d*)?|\\d*\\.\\d+)([eE][-+]?\\d+)?'	758,1246,1540
'[-+]?\\d+'	1246,1540
'[+-]?\\d+'	374,1618
'[\\d\\.]+'	1317,1501
'(\\d+)(.*)'	560,743
'[1-9][0-9]*'	12,1087
'[{ ]*[-+0-9]'	518,787
'\\d+(\\.\\d*)?'	1246,1540
'([+-]?[\\d\\.]+)(\\S+)'	63,401
'([idel])|(\\d+):|(-?\\d+)'	962,1557
'([\\-0-9])|([\\-0-9]/[0-9])'	518,787
'(0x[0-9A-Fa-f]+|0\\d*|[1-9]\\d*)'	1246,1540




Cluster i: 6
total projects:43
total patterns:16
'(\\s*\\n\\s*)'	173,552,606,800,1223,1420,1469
'\n\\s*'	873,1463,1580,1592
'\r|\n'	9,16,1247
'[\n]+'	538,733,1288
'[\r\n]'	43,826,1386
'\\\\*\\n'	1007,1015,1032
u'\\s*\\n\\s*'	943,1158,1247
'[ \t]*\n[ \t]*'	526,1046,1642
'\n(.)'	788,1469
'\r*\n'	602,1054
'(.*)\n'	1317,1501
'\n[ \t]*'	103,130
'\r|\n|\r\n'	305,1505
'\\n\\s*\\n*'	779,1407
'\r\n|\r+|\n'	640,662
'(\\r\\n|\\n|\\r)'	636,1125




Cluster i: 7
total projects:39
total patterns:14
'^([^/]+)(/.*)$'	225,287,510,602,774,1495,1509
'.*/'	560,990,1007,1015,1032
'.*/(.*)'	200,546,830,1028,1039
'/+'	107,989,1225,1638
'\\w+:'	757,861,1087
'[\\/][^\\/]+[\\/]?$'	532,577,1314
'^[^ ]*/([^ ]+)( .*)?'	1007,1015,1032
'/=?'	636,1125
'/.*'	616,1368
'[/]+'	447,877
'/(.*)'	345,383
'^.*\\/'	1248,1488
'\\s*/\\s*'	1248,1488
'(\\w+://.*|/.*|\\w:\\.*|\\w:/.*)'	305,1505




Cluster i: 8
total projects:35
total patterns:13
'u?r?["\\\']'	304,640,662,842,945,1025,1322,1505
'([\\"\\\\])'	225,287,510,602,774,1509
'.*\\\\'	1007,1015,1032
'"|\\\\'	91,1179,1594
'[\\\\]'	241,1249
'[\\\\"]'	103,130
'^.*\\\\'	1193,1552
'(\\\\|")'	241,1249
"([\\\\'])"	1517,1634
'[\'"\\\\]'	1248,1488
u'([\\\\"])'	782,1007
'\\\\[^ntrab]'	52,597
'\\\\u.{4}|\\\\.'	251,1087




Cluster i: 9
total projects:35
total patterns:8
'[_a-zA-Z]\\w*$'	308,322,389,467,505,534,743,1216,1466
'[a-zA-Z_][a-zA-Z0-9_]*$'	422,538,557,747,1223,1288,1420,1517,1580
'[a-zA-Z][a-zA-Z0-9.-]*$'	12,412,759,852,961,1221,1511
'(\\w+)$'	82,89,1004,1074,1075
'[a-zA-Z]\\w*$'	251,1087
'[a-zA-Z_]\\w*$'	757,1087
'[A-Za-z_][A-Za-z0-9_]*$'	640,662
'(([a-z_][a-z0-9_]*)|([A-Z][a-zA-Z0-9]+))$'	640,662




Cluster i: 10
total projects:34
total patterns:10
'[\\000-\\037]'	12,287,425,602,1050,1054,1087,1509,1580
'[\\x00-\\x08\\x0b\\x0c\\x0e-\\x1f]'	322,467,505,534,1211,1223,1420,1466,1495
'[\\x00-\\x20]+'	173,552,574,606,800,1223,1420,1469
'[\\x00-\\x08\\x0e-\\x1f]'	173,465,552,606,800,1223,1420,1469
'[\\x00-\\x20]'	173,552,606,800,1223,1420,1469
'[\\x00-\\x1f]'	173,381,813,927,1223,1420
'[\x00-\x06\x0e-\x1f]'	147,181,1087
'[\x00-\x08\x0b-\x0c\x0e-\x1f]'	1050,1223,1420
'[\x01-\x1f]'	492,1364
'([\x00-\x08\x0b\x0c\x0e-\x1f])'	305,1505




Cluster i: 11
total projects:32
total patterns:9
'[/\\\\ ]'	113,147,181,251,498,1087,1267,1555
'[\\\\/]'	241,813,874,927,1249,1269
'^.{3,20}$'	200,1294,1337,1595
'\\\\|\\/|\\||\\:|\\?|\\*|"|<|>|[\x00-\x1f\x7f-\x9f]/'	191,532,843,1132
'(/\\.)|(//)|([\\\\:\\*\\?\\""\\<\\>\\|]|[\x00-\x1f]|[\x7f-\x9f])'	191,532,843,1132
'[./\\\\]'	422,747,1517
'\\.|\\\\'	1183,1506,1510
'([\\s\\\\])'	1007,1015,1032
'[\\\\/\\*]'	1269,1498




Cluster i: 12
total projects:31
total patterns:12
'\\s*([^: ]*)\\s*:(.*)'	306,322,464,467,505,534,1300,1404,1466
':+'	12,412,759,852,961,1087,1221,1511
'(:)'	12,412,759,852,961,1087,1221,1511
'(:+)'	12,412,759,852,961,1087,1221,1511
'(:)(:*)'	12,412,759,852,961,1087,1221,1511
'^([^:]*): *(.*)'	12,412,759,852,961,1087,1221,1511
'[:]'	171,241,1249,1317,1381,1501
'([^:]+):(.*)'	322,467,505,534,1216,1466
'\\s*:\\s*'	139,292,1219,1501
'\\:'	232,1338
'^([^:]*):[^:]*$'	103,130
'^[^:]*:([^:]*)$'	103,130




Cluster i: 13
total projects:30
total patterns:16
'^[-\\w/]+$'	82,89,1004,1074,1075,1495
'^[a-zA-Z0-9_=-]+$'	467,505,534,1466
'^[a-zA-Z0-9-]{1,500}$'	1004,1074,1075,1495
'^[a-zA-Z0-9-]{1,100}$'	1004,1074,1075,1495
'^([a-zA-Z0-9]+)([-](.*))?$'	287,580,602,1509
'^[\\w\\.\\-\\/]*$'	122,1015,1032
u'^[-a-zA-Z0-9_]+$'	1012,1086,1580
'^[a-zA-Z0-9_=.\\\\/-]+$'	534,1007,1466
'^[0-9A-Za-z._-]{0,100}$'	1004,1075,1495
'^/?[a-zA-Z0-9_-]+(/[a-zA-Z0-9_-]+)?/?$'	1121,1320,1355
'^/?[a-zA-Z0-9_.-]+(/[a-zA-Z0-9_.-]+)*/?$'	1121,1320,1355
'^[-_A-Za-z0-9]+$'	1315,1353
'^[A-Za-z0-9_-]*$'	539,1186
'^[a-zA-Z0-9\\-]+$'	1004,1495
'^[a-zA-Z0-9_-]{1,500}$'	1004,1495
'^[a-zA-Z0-9/_^\\-\\.:=]+$'	1025,1326




Cluster i: 14
total projects:30
total patterns:7
'(\\d+\\.\\d+)(.*)'	308,322,389,467,505,534,743,1216,1466
'(\\d+\\.\\d+)'	356,531,654,832,846
'\\d+\\.\\d+'	96,252,564,1059
'(\\d+)\\.(\\d+)(\\.(\\d+))?(b(\\d+))?'	1004,1074,1075,1495
'[0-9]+\\.[0-9]+'	1127,1380,1526
'(\\d+)\\.(\\d+)'	645,1007,1301
'(grubby version)?(\\s)?(\\d+)\\.(\\d+)(.*)'	1317,1501




Cluster i: 15
total projects:29
total patterns:9
'{([^}]*)}(.*)'	220,927,1122,1263,1290,1469,1580,1594
'[ \n]*{(([^{}}]|{[^}]*})*)}'	12,412,759,852,961,1221,1511
'\\{([^\\}]*)\\}'	143,188,213,1583
'\\{([^}]*)\\}'	1263,1267,1580
'(.*){(.*)}(.*)'	642,971,1203
'^(.*){(.*)}(.*)$'	642,971,1203
'{[^}]*}'	1211,1495
'{([^}]*)}'	757,1248
'({[^{}]*})'	568,1144




Cluster i: 16
total projects:27
total patterns:9
'\\.+'	82,89,251,374,972,1004,1075,1087
'(^[^\\.]+)\\.'	302,849,878,1004,1012,1086,1158,1495
'(\\D)[.]'	851,1269,1498,1561
'[.](\\D)'	851,1269,1498,1561
'\\..*'	812,1114,1161
'[^.]*\\.(.*)'	241,874,1249
'^(.+)\\.([^\\.])*'	241,874,1249
'\\.\\.*'	1269,1498
'[ \\t]*\\.[ \\t]*'	55,908




Cluster i: 17
total projects:27
total patterns:8
u'<[^>]*>'	55,558,795,813,1150,1302,1326
'<[^<>]*>'	851,1269,1561,1576
'<(.*)>'	557,1223,1420
'.*<(.*)>.*'	1007,1015,1032
'(<[^>]*>)(.*)'	241,874,1249
'^(.*)<(.*)>(.*)$'	642,971,1203
'([^<]*)(<[^>]*>)'	9,148
'^(.*)\\s*<(.*)>\\s*(.*)\\s*$'	103,130




Cluster i: 18
total projects:27
total patterns:7
'\\(.*\\)'	757,1007,1015,1032,1087,1415,1580
'\\((.*)\\)'	550,771,1317,1415,1501,1580
'\\([^)]*\\)'	503,624,656,906,1404,1486
'\\([^()]*\\)'	851,1269,1561,1576
'(.*)\\((.*)\\)'	533,1117,1148,1469
'.*\\((.*)\\).*'	1007,1015,1032
'(.*)\\(.*\\)'	109,182




Cluster i: 19
total projects:26
total patterns:6
'"[^"]*"'	322,416,467,505,534,1199,1300,1404,1466
'"(.*)"'	106,126,557,837,1223,1347,1420,1495
'"([^"]*)",?'	1630,1632,1639
'".*"'	826,1557
'"([^"]*)"'	678,1133
'"(\\\\\\\\|\\\\"|[^"])*"'	251,1087




Cluster i: 20
total projects:24
total patterns:5
'( +)'	162,251,619,757,1087,1267
'([^\\\\] )'	422,602,747,1517,1580
'([a-z]*) ([^ \\r\\n]*)'	441,628,1054,1204,1580
'([ ]+_)|(_[ ]+)|([ ]+)'	236,247,919,1007,1395
'[ ]+'	126,538,1247,1288




Cluster i: 21
total projects:23
total patterns:4
'<[^>]+>'	64,429,539,1004,1074,1075,1087,1495,1555
'<\\S[^>]*>'	220,454,666,707,927,1003,1247
'(<[^>]+>)'	557,558,1223,1326,1420
'<(.+)>'	599,1359




Cluster i: 22
total projects:22
total patterns:7
'\\[(.*)\\]'	560,740,1007,1317,1501
'\\[([^\\]]*)\\]'	143,188,213,1094,1583
'\\[[^]]*\\]'	190,624,729,1486
'\\[.*\\]'	83,184,1569
'.*\\[(.*)\\].*'	560,1087,1580
'(.*)\\[(.*)\\](.*)'	642,971,1203
'^(.*)\\[(.*)\\](.*)$'	642,971,1203




Cluster i: 23
total projects:22
total patterns:6
'%.*'	251,498,1087,1267,1555
'%'	743,873,973,1571
'%[^\\r\\n\\v]*'	642,776,971,1203
u'%[^0-9A-Fa-f]|%[0-9A-Fa-f][^0-9A-Fa-f]'	927,1292,1399,1469
'%[^%]|%$'	287,602,1509
'%(.)'	1380,1526




Cluster i: 24
total projects:21
total patterns:5
'[\\\\"]|[^ -~]'	306,322,467,505,534,896,1007,1466
"[\t\n #$%&'()*;<=>?[{|}~]|^$"	306,322,467,505,534,896,1007,1466
"[^A-Za-z0-9\\-_.~!*'();:@&=+$,/?%#[\\]]"	225,287,510,602,774,1509
'\\.|\\\\|\\/|\\||\\:|\\?|\\*|"|<|>|[\x00-\x1f\x7f-\x9f]'	191,532,843,1132
u'[\\t !"#$%&\\\'()*\\-/<=>?@\\[\\\\\\]^_`{|},.]+'	571,1232,1313




Cluster i: 25
total projects:21
total patterns:5
'{'	322,467,505,534,557,1248,1466
'[ \n]*{'	12,412,759,852,961,1221,1511
'\\{'	594,757,1087
'\\s*{'	171,1381
'\\s*\\{\\s*'	617,1247




Cluster i: 26
total projects:21
total patterns:3
'\\\\(begin|end){([_a-zA-Z]+)}|([()\\[\\]])'	12,412,759,852,961,1054,1087,1221,1511
'([(\\[{])|([)}\\])])'	1025,1082,1322,1326,1482,1504,1505
'[\\({\\[\\]}\\)\\n]'	167,468,640,659,703,1322




Cluster i: 27
total projects:20
total patterns:7
'[ \\t]*(#)'	261,412,759,852,961,1221,1511
'#.*$'	103,130,249
'\\\\*\\#'	1007,1015,1032
'#(\\S+)'	296,819
'\\s*#.*$'	633,1007
'\\s*#(.*)$'	276,771
'([^#:]*#)(.*)'	251,1087




Cluster i: 28
total projects:20
total patterns:7
'[\\000-\\037\\177-\\377]'	412,759,852,961,1221,1511
'[^!-~]'	642,776,971,1203
'[^ -~\\n]'	642,776,971,1203
u'([^\\t -~])'	304,1025,1322
'([\\x00-\\x1f\\x7f])'	1269,1469,1498
'[\x00-\x08\x0e-\x1f\x7f]'	12,1054,1087
'[\x00-\x1f\x7f-\xff]'	305,1025




Cluster i: 29
total projects:19
total patterns:6
'[ ,]+'	200,552,606,819,1223,1247,1420,1469
'[, ]+'	332,689,1013,1218,1426
'[,;: ]+'	552,606,1223,1247,1420
'[-/.: ]+'	1269,1469,1498
'[ ,]'	232,619
'[:;, ] *'	757,1087




Cluster i: 30
total projects:19
total patterns:3
'(.*)\\|(.*)'	308,322,389,467,505,534,743,1216,1466
'\\|'	305,687,1025,1076,1138,1470,1505
'\\s*\\|\\s*'	941,1248,1488




Cluster i: 31
total projects:18
total patterns:5
'{|}'	412,757,759,852,961,1087,1179,1221,1511
'({)|(})'	12,412,759,852,961,1054,1087,1221,1511
'([}{])'	52,188,597
'([{}])'	147,181
'^[^{]*\\}|\\{[^}]*$'	1263,1580




Cluster i: 32
total projects:18
total patterns:5
'(\\\\*)([,;]+)'	306,322,467,505,534,896,1007,1466
'[;,]'	1063,1254,1258
'[,;]'	262,267,268
',|;'	1628,1633
'[:;,] *'	757,1087




Cluster i: 33
total projects:18
total patterns:3
'&#(x?[0-9A-Fa-f]+)[^0-9A-Fa-f]'	147,181,190,325,582,622,915,1597
'&#(x?[0-9a-fA-F]+)[^0-9a-fA-F]'	55,225,287,510,602,774,1509
'&#([xX]?[0-9a-fA-F]+)[^0-9a-fA-F]'	31,476,732




Cluster i: 34
total projects:17
total patterns:6
'-.*'	614,947,996,1114,1161,1491
'([^-]*)-'	241,874,1249
'\\-'	190,232
'\\s*-'	171,1381
'-[^-]*$'	405,1219
'([^-]*-).*'	1246,1540




Cluster i: 35
total projects:17
total patterns:5
'@(\\w*)(.*)'	896,1015,1032,1172,1428,1493
'@.*'	173,1007,1015,1032,1571
'@'	230,990,1076,1136
'[@]'	241,1249
'@([^\'"\\s]+)'	296,819




Cluster i: 36
total projects:17
total patterns:4
' {2,}'	162,210,251,253,305,619,1087,1267,1505
'  '	122,1248,1488
'\\ \\ +'	241,874,1249
'()(  +)'	1050,1350




Cluster i: 37
total projects:17
total patterns:4
'^[a-zA-Z_]\\w*'	322,467,505,534,712,1216,1466
'^[a-zA-Z]'	305,1230,1505,1580
'^[a-zA-Z_]'	356,538,1247,1288
'^[~a-zA-Z_]'	251,1087




Cluster i: 38
total projects:17
total patterns:2
'^-?\\d+$'	43,82,89,90,901,1004,1074,1075,1495
'^(0|-?[1-9][0-9]*)$'	306,322,467,505,534,896,1007,1466




Cluster i: 39
total projects:16
total patterns:5
'//'	322,467,505,534,1076,1466
'//+'	588,1050,1242
'(.*)//(.*)'	241,874,1249
'\\/\\/[^\\n\\r]*'	1025,1322
'([a-z]+://|//).*'	482,579




Cluster i: 40
total projects:16
total patterns:4
'^(\\s+)'	305,407,602,747,1025,1322,1326,1469,1505
'^([ \\t\\r\\f\\v]+)'	422,747,1517,1580
'^\\s+.*'	557,1223,1420
'^\\s'	14,1326




Cluster i: 41
total projects:16
total patterns:4
'[<>&]'	305,407,1025,1322,1326,1505
'["&<>]|[^\\x00-\\x7f]'	433,927,1003,1202,1350
'[&<>"]'	552,606,800,1469
'[&<]|]]>'	1076,1350




Cluster i: 42
total projects:16
total patterns:3
