Um nPatterns: 140 nProjects: 164
'.+SPHEROID\\[\\"(?P<name>.+)\\",(?P<major>\\d+(\\.\\d+)?),(?P<flattening>\\d{3}\\.\\d+),'	302,323,355,422,849,866,878,1004,1012,1086,1158,1184,1495,1517,1580,1634
'.*?Error: Parse error on line (?P<line>\\d+): (?P<error>.+)'	1025,1322
'^     Page [1-9][0-9]*[ \t]+\\|^.*Last change:.*[1-9][0-9]*\n'	12,1087
'(mapperprop|mapper|table|column|session|attribute|engine):(.*)'	1415,1580
'Tools and libraries NOT available at test time:\\n\\s*(.*?)\\n'	747,1330
'Line (?P<line>\\d+),\\s*E:(?P<errnum>\\d+):\\s*(?P<message>.+)'	1025,1322
'use\\s+encoding(?:::source)?\\s+([\'"])(?P<encoding>[\\w-]+)\\1'	305,1505
'^(dict|dictionary|map|mapping) from ([\\w\\.]+) to ([\\w\\.]+)$'	757,1087
'^(I|E)/(stdout|stderr|GeckoConsole)\\s*\\(\\s*\\d+\\):\\s*(.*)$'	919,1007
'FOREIGN KEY \\((.*?)\\) REFERENCES (?:(.*?)\\.)?(.*?)\\((.*?)\\)'	113,1469
'((msgasser(t|ted)NoTrace)) *\\(( *)(\\d+) *, *("\\S[^,^"]+\\S") *,?'	1459,1531
'^Attached scsi disk (.+) at scsi(.+), channel (.+), id (.+), lun (.+)$'	492,1364
'^([-]+BEGIN CERTIFICATE[-]+[\\r]*\\n.*[\\r]*^[-]+END CERTIFICATE[-]+)$'	1087,1580
'^.*ERROR org\\.apache\\.hadoop\\.streaming\\.StreamJob \\(main\\): (.*)$'	440,542
'# StopWatch ([\\w]+) total/cumulative duration ([0-9.]+). Samples: ([0-9]+)'	1116,1141
'(WARNING|ERROR|INFO) \\(l.(?P<line>[0-9]+), c.(?P<column>[0-9]+)\\): (?P<rest>.*)'	332,689
'YEAS -?\\s?(\\d+)(.*)NAYS -?\\s?(\\d+)(.*)ABSENT( OR NOT VOTING)? -?\\s?(\\d+)(.*)'	109,182
'\\[(?P<pbp>.+)\\] (?P<error>.+?) at line (?P<line>\\d+), column (?P<column>\\d+).+?'	1025,1322
'^Parse error:\\s*syntax error,\\s*(?P<error>.+?)\\s+in\\s+.+?\\s*line\\s+(?P<line>\\d+)'	304,305
'^Parse error:\\s*(?:\\w+ error,\\s*)?(?P<error>.+?)\\s+in\\s+.+?\\s*line\\s+(?P<line>\\d+)'	1025,1322
